Fecha y hora;Nombre;Epicentro;Zonas afectadas;Ms;Mw;MM;Tsunami;Muertos
6 de septiembre de 1942;Caldera de 1942;-36.200, -29.208;II y III regiones;7,3 ¿?;7,3 Solo MS;;T;5
14 de marzo de 1943 (14:37);Iquique de 1943;-20.000, -69.500;I y XV regiones;7,235_;7,2 Solo MS;;T;0
6 de abril de 1943 (12:07);Ovalle de 1943;-30.750, -72.000;IV región;8,312_;8,213_;VII;;12
1 de diciembre de 1943 (06:34);Pica de 1943;-21.000, -69.000;I y XV regiones;7,036_;7,0 Solo MS;;;0
2 de agosto de 1946 (15:19);Copiapó de 1946;-26.500, -70.500;III región;7,912_;7,9 Solo MS;IX;T;8
19 de abril de 1949 (23:19);Angol de 1949;-42.000, -71.675;VIII y IX regiones;7,312_;7,3 Solo MS;VIII;;35
25 de abril de 1949 (09:54);Iquique de 1949;-19.750, -69.000;I y XV regiones;7,337_;7,3 Solo MS;;;0
17 de diciembre de 1949 (02:53);Tierra del Fuego de 1949;-54.000, -71.000;XII región;7,812_;7,8 Solo MS;VIII;;6
9 de diciembre de 1950 (17:38);Calama de 1950;-23.500, -67.500;I, II y XV regiones;8,338_;8,3 Solo MS;VII;;0
6 de mayo de 1953 (13:16);San Carlos de 1953;-36.500, -72.600;VII, XVI y VIII regiones;7,612_;7,6 Solo MS;X;;12
6 de diciembre de 1953 (22:05);Calama de 1953;-22.100, -68.700;I y II regiones;7,412_;7,4 Solo MS;;;3
8 de enero de 1956 (16:54);Arica de 1956;-19.000, -70.000;I y XV regiones;7,139_;7,1 Solo MS;V;;0
4 de septiembre de 1958 (17:52);Las Melosas de 1958;-33.249, -73.667;Región Metropolitana;7,040_;6,641_;VII;;4
13 de junio de 1959 (20:12);Iquique de 1959;-20.420, -69.200;I, II y XV regiones;7,542_;7,5 Solo MS;VII;;0
21 de mayo de 1960 (06:02);Concepción-Cañete de 1960;-37.500, -73.500;VIII y IX regiones;7,343_;8,344_;X;;125
22 de mayo de 1960 (14:56);Angol de 1960;-38.061, -73.039;VII hasta X región;7,8 Solo MW;7,845_;X46_;;0
22 de mayo de 1960 (15:11);Valdivia de 1960;-39.500, -74.500;VIII, IX, X y XIV regionesn 3_;8,512_;9,5 o más13_;XII;T;2000
6 de junio de 1960 (01:55);Aysén de 1960;-45.785, -72.889;XI región;7,8 Solo MW;7,847_;VIII48_;;0
2 de diciembre de 1960 (06:10);Taltal de 1960;-24.732, -70.297;II y III regiones;7,3 Solo MW;7,349_;VIII50_;;0
23 de febrero de 1965 (18:11);Taltal de 1965;-25.670, -70.630;II región;7,012_;7,013_;VI;;1
28 de marzo de 1965 (12:33);La Ligua de 1965;-32.418, -71.100;IV, V y VI regiones y R.M.;7,412_;7,413_;VIII;;280
28 de diciembre de 1966 (04:18);Taltal de 1966;-25.510, -70.740;II y III regiones;7,712_;7,7 Solo MS;VIII;T;6
20 de diciembre de 1967 (22:25);Tocopilla de 1967;-21.800, -70.000;II región;7,512_;7,5 Solo MS;VIII;;10
8 de febrero de 1971 (18:04);Isla Decepción de 1971;-63.398, -61.377;XII región;7,051_;7,0 Solo MS;;;0
8 de julio de 1971 (23:03);Illapel de 1971;-32.511, -71.207;IV y V regiones y R.M.;7,512_;7,513_;IX;T;85
